Nummer;Suchwort;Satzart;Kategorie;SymbolNummer;KategorieLangtext;ProgrammName;FixedFont;Format;Maske;ZielTabelle;ZielSatzart;Passwortschutz;Position;Geschützt;MeineAuswahl;MandantAnlage;UserAnlage;DatumAnlage;MandantGeändert;UserGeändert;DatumÄnderung;Farbe;KBTextFarbig;Befehl;DateiÄnderbar;Gruppe;FreigabeStatus;GruppeEmpfang;Basisdokumentation;CodeSatzart;FreigabeListeVerwenden;HintergrundFarbe;FreigabeListeStatus;ScheinBezug;ScheinBezugAenderbar
12;NFErkrankungen;20;NFERK;0;Notfallrelevante Erkrankungen;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
13;NFOrgane;25;NFORG;0;Entnommene Organe;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
14;NFMedikation;30;NFMED;0;Dauermedikation;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
15;LMedikament;4000;LM;0;Laufendes Medikament;;0;Typ()  Langtext(: )  Menge(, Anz.: )  Dosierung(, Dos.: )  PZNummer(, PZN: )  Betrag(, AVP:  )  Diagnose(, Diagnose: );Typ Langtext Menge Dosierung PZNummer Betrag Diagnose;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;8421631;0;;0;5;0;0;0;;0;0;-1;0;0
16;AMedikament;4200;AM;0;Abgesetztes Medikament;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;8421631;0;;0;5;0;0;0;;0;0;-1;0;0
17;DMedikament;4100;DM;0;Dauermedikament;;0;Typ()  Langtext(: )  Menge(, Anz.: )  Dosierung( Dos.: )  PZNummer(, PZN: )  Betrag(, AVP:  )  Diagnose(, Diagnose: );Typ Langtext Menge Dosierung PZNummer Betrag Diagnose;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;8421631;0;;0;5;0;0;0;;0;0;-1;0;0
19;AktAnamnese;5000;AA;0;Aktuelle Anamnese;;0;;;;0;0;1;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;1;0;0;0;AN;0;0;-1;0;1
20;FamAnamnese;5100;FA;0;Familienanamnese;;0;;;;0;0;9;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;1;0;0;0;AN;0;0;-1;0;1
21;AktBefund;6000;AB;0;Aktueller Befund;;0;;;;0;0;2;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;2;0;0;0;AB;0;0;-1;0;1
22;Sono;7000;SONO;0;Sono;;0;;;;0;0;22;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
23;Röntgen;8000;RÖ;0;Röntgen;;0;;;;0;0;21;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
24;Labor;9000;LAB;0;Laborbefund;;0;;;;0;0;16;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
25;Medizintechnik;10000;MT;0;Medizintechnik;;0;;;;0;0;17;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
26;TP;11000;TP;0;Therapie;;0;;;;0;0;25;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;3;0;0;0;;0;0;-1;0;1
27;GKS;1000;GKS;0;Kassenschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
28;BKS;1100;BKS;0;Belegarztschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
29;UKS;1200;UKS;0;Überweisungsschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
30;NKS;1300;NKS;0;Notfallschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
31;PKS;1400;PKS;0;Privatschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
32;BGKS;1500;BGKS;0;BG-Schein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
33;PSKS;1600;PSKS;0;Stationärer Privatschein;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
34;Briefe;12000;BRIEF;0;Arztbriefschreibung;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;1;0;-1;1;0
35;PR;20000;PRLQ;0;Privatrechnung;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
36;Termin;30000;TERMIN;0;Termin;;0;;;;0;0;24;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;0;0;0;0;;0;0;-1;0;1
37;EEG;10100;EEG;0;EEG;;0;;;;0;0;7;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
38;EKG;10200;EKG;0;EKG;;0;;;;0;0;8;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
39;Online;10500;ONLINE;0;Online;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
41;Dosierwechsel;4300;DW;0;Dosierungswechsel;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
42;PKVRezept;2050;PKVR;0;PKVRezept-Formular;;0;Langtext1(Med.:  )  Menge1( Menge: )  Dosierung1( Dos.: )  Langtext2( )  Langtext3(, Med.:  )  Menge3( Menge: )  Dosierung3( Dos.: )  Langtext4( )  Langtext5(, Med.:  )  Menge5( Menge: )  Dosierung5( Dos.: )  Langtext6( );Langtext1 Menge1 Dosierung1 Langtext2 Langtext3 Menge3 Dosierung3 Langtext4 Langtext5 Menge5 Dosierung5 Langtext6;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
43;PrivatRezept;2060;PR;0;PrivatRezept-Formular;;0;Langtext1(Med.:  )  Menge1( Menge: )  Dosierung1( Dos.: )  Langtext2(, Med.:  )  Menge2( Menge: )  Dosierung2( Dos.: )  Langtext3(, Med.:  )  Menge3( Menge: )  Dosierung3( Dos.: )  Langtext4(, Med.:  )  Menge4( Menge: )  Dosierung4( Dos.: )  Langtext5(, Med.:  )  Menge5( Menge: )  Dosierung5( Dos.: )  Langtext6(, Med.:  )  Menge6( Menge: )  Dosierung6( Dos.: )  Langtext7(, Med.:  )  Menge7( Menge: )  Dosierung7( Dos.: )  Langtext8(, Med.:  )  Menge8( Menge: )  Dosierung8( Dos.: );Langtext1 Menge1 Dosierung1 Langtext2 Menge2 Dosierung2 Langtext3 Menge3 Dosierung3 Langtext4 Menge4 Dosierung4 Langtext5 Menge5 Dosierung5 Langtext6 Menge6 Dosierung6 Langtext7 Menge7 Dosierung7 Langtext8 Menge8 Dosierung8;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
46;Leistungsziffern;3500;L;0;Leistungsziffern;;0;;;SCHEIN;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;7;0;0;0;;0;0;-1;1;0
47;Bilder;40000;BILD;0;Bilder;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;2;0;0;0;;0;0;-1;0;1
48;DauerAnamnese;5200;DA;0;Daueranamnese;;0;;;;0;0;5;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;1;0;0;0;AN;0;0;-1;0;1
49;FremdBefund;11500;FB;0;Fremdbefund;;0;;;;0;0;14;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;2;0;0;0;;0;0;-1;0;1
50;Objekte;50000;OBJ;0;Objekte;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
51;Risikofaktoren;13000;RISIKO;0;Risikofaktoren;;0;;;;0;0;20;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
52;Allergien;14000;ALL;0;Allergien;;0;;;;0;0;3;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
53;Unfälle;15000;UNFALL;0;Unfälle;;0;;;;0;0;26;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
54;Operationen;16000;OP;0;Operationen;;0;;;;0;0;18;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
55;Dauertherapie;11100;DTP;0;Dauertherapie;;0;;;;0;0;6;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;3;0;0;0;;0;0;-1;0;1
56;PTherapie;11200;PTP;0;Physikalische Therapie;;0;;;;0;0;19;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;3;0;0;0;;0;0;-1;0;1
57;Blutwerte;17000;BLUT;0;Blutwerte;;0;;;;0;0;4;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
58;Symptome;18000;SYM;0;Symptome;;0;;;KRABLMEMO;0;0;23;0;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
59;MAHN;21000;MAHN;0;Mahnung;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
60;PVS;20100;PVS;0;PVS-Rechnung;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;1;0
61;Praxisformular;2700;PF;0;Praxisformular;;0;KurzBezeichnung()  Kurzinfo();KurzBezeichnung Kurzinfo;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
62;BGFormular;2650;BGF;0;BG-Formular;;0;KurzBezeichnung()  Kurzinfo();KurzBezeichnung Kurzinfo;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
63;KlinischerStatus;45000;KLIST;0;Klinischer Status;;0;;;KLINIKSTATUS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
64;EMAIL;49000;EMAIL;0;EMAIL;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
65;Skizze;41000;SKIZZE;0;Skizze;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;2;0;0;0;;0;0;-1;0;0
67;MCS-Parc;43000;PARCM;0;MCS-Parc;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;2000-02-25 15:38:06.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
68;AdAkta;44000;AKTAM;0;AdAkta Archiv;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
69;FremdBefundSel;11600;FBS;0;Fremdbefund selektiv;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;2;0;0;0;;0;0;-1;0;0
70;KonsBem;1035;KBEM;0;Konsultationsbemerkung;;0;;;KRABLMEMO;0;0;15;0;0;0;0;2000-12-11 13:36:15.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;1
71;LABTAG;9500;LABTAG;0;Laborwerte eines Tages;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
72;HeilRezeptPhys;2070;R;0;Heilmittel Rezept Physik.;;0;Langtext1(Heilmittel PT:  )  Menge1( )  Dosierung1( Dos.: )  Langtext2(, )  Menge2( )  Dosierung2( Dos.: )  Langtext3(, )  Menge3( )  Dosierung3( Dos.: )  Langtext4(, )  Menge4( )  Dosierung4( Dos.: )  Erstverord( [EV])  1.Folgeverord( [1.FV])  2.Folgeverord( [2.FV])  Langverord( [LV])  ErstverordV2( [EV])  FolgeverordV2( [FV]);Langtext1 Menge1 Dosierung1 Langtext2 Menge2 Dosierung2 Langtext3 Menge3 Dosierung3 Langtext4 Menge4 Dosierung4 Erstverord 1.Folgeverord 2.Folgeverord Langverord ErstverordV2 FolgeverordV2;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
73;HeilRezeptErgo;2080;R;0;Heilmittel Rezept Ergo.;;0;Langtext1(Heilmittel ET:  )  Menge1( )  Dosierung1( Dos.: )  Langtext2(, )  Menge2( )  Dosierung2( Dos.: )  Langtext3(, )  Menge3( )  Dosierung3( Dos.: )  Erstverord( [EV])  1.Folgeverord( [1.FV])  2.Folgeverord( [2.FV])  Langverord( [LV])  ErstverordV2( [EV])  FolgeverordV2( [FV]);Langtext1 Menge1 Dosierung1 Langtext2 Menge2 Dosierung2 Langtext3 Menge3 Dosierung3 Erstverord 1.Folgeverord 2.Folgeverord Langverord ErstverordV2 FolgeverordV2;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
74;Serienbrief;49010;SBRIEF;0;Serienbrief;;0;;;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
75;MediDOK;46000;MDOK;0;mediDOK Archiv;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;2;0;0;0;;0;0;-1;0;0
76;Brille;47000;BW;0;Brillenwerte;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
77;Tono;47010;TON;0;Tonometerwerte;;0;Tonometer rechts = @Tonometrie_Rechts, Tonometer links = @Tonometrie_Links / Zeit = @Uhrzeit;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
78;Entwicklungstest;35000;EWT;0;Entwicklungstest;;0;KurzBezeichnung()  Kurzinfo();KurzBezeichnung Kurzinfo;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
80;ISF;49020;ISF;0;Isyform Formular;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
81;FADiagnose;49903;FAD;0;Fremd Diagnose;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;4;0;0;0;;0;0;-1;0;0
82;FLM;49904;FLM;0;Fremd Medikament;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;5;0;0;0;;0;0;-1;0;0
83;FAA;49905;FAA;0;Fremd Anamnese;;0;;;KRABLPROGS;0;0;10;0;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;1;0;1;0;;0;0;-1;0;1
84;FAB;49906;FAB;0;Fremd Befund;;0;;;KRABLPROGS;0;0;11;0;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;2;0;2;0;;0;0;-1;0;1
85;FRÖ;49908;FRÖ;0;Fremd Röntgenbefund;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;2;0;0;0;;0;0;-1;0;0
86;FTP;49911;FTP;0;Fremd Therapie;;0;;;KRABLPROGS;0;0;13;0;1;0;0;1899-12-30 00:00:00.000;1;3;02.04.2001 13:15;0;0;;0;3;0;3;0;;0;0;-1;0;1
87;Date;31000;DATE;0;Zeitmanagement-System;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;1;3;2000-03-14 13:08:59.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
88;BGBO;49100;BGBO;0;BG-Bericht DALE-UV;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;1;0;-1;1;0
89;BGRO;49101;BGRO;0;BG-Rechnung DALE-UV;;0;;;KRABLPROGS;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;1;0
90;Pquittung;49030;PQ;0;Patientenquittung;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
91;TODO;32000;TODO;0;Zeitmanagementsystem/ToDo;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
92;RECALL;33000;RECALL;0;Zeitmanagementsystem/Recall;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
93;AKTION;34000;AKTION;0;Zeitmanagementsystem/Aktion;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
94;ZGMahnung;49040;ZGM;0;Mahnung Zuzahlungsgebühr;;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
95;RBRIEF;49050;RBRIEF;0;Recall-Brief;;0;;;KRABLFORMULAR;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
96;DCDMPDIAB2;48000;DCDMP;0;Dokumentation Diabetes Typ 2;@AO DCDMP;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
98;DCDMPBRUST;48020;DCDMP;0;Dokumentation Brustkrebs;@AO DCDMP;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
100;DCDMPKOL;48040;DCDMP;0;Dokumentation Früherkennung Koloskopie;@AO DCDMP;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
101;Benutzereinstell;40;KKEIN;0;Karteikarte Benutzereinstellung;;0;;;;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;0;0;0;0;;0;0;-1;0;0
102;DCDMPDIAB1;48060;DCDMP;0;Dokumentation Diabetes Typ 1;@AO DCDMP;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
103;DCDMPKHK;48080;DCDMP;0;Dokumentation KHK;@AO DCDMP;0;;;KRABLMEMO;0;0;0;1;1;0;0;1899-12-30 00:00:00.000;0;0;1899-12-30 00:00:00.000;0;0;;0;6;0;0;0;;0;0;-1;0;0
